close,high,low,open
3.159,3.3,2.551,2.57
3.17,3.2,2.95,3.159
2.545,3.195,2.481,3.17
2.77,3.04,2.44,2.545
2.773,2.849,2.65,2.77
3.04,3.09,2.731,2.773
3.19,3.255,2.905,3.04
3.581,3.827,3.14,3.19
3.27,3.65,3.2,3.581
3.248,3.316,3.066,3.27
3.15,3.35,3.07,3.248
3.254,3.44,3.141,3.15
3.152,3.28,3.1,3.254
3.109,3.21,3.011,3.152
2.97,3.15,2.85,3.109
2.96,3,2.92,2.97
3.007,3.032,2.95,2.96
3.035,3.21,3.006,3.007
2.95,3.11,2.887,3.035
2.84,2.969,2.8,2.95
3.08,3.11,2.823,2.84
3.031,3.11,3.01,3.08
2.997,3.05,2.951,3.031
2.22,2.996,2.1,2.997
2.329,2.49,2.11,2.22
2.56,2.6,2.301,2.329
2.25,2.589,1.994,2.56
2.05,2.39,2,2.25
2.196,2.26,2,2.05
2.2,2.499,2.15,2.196
2.294,2.311,2.17,2.2
2.329,2.35,2.25,2.294
2.332,2.38,2.27,2.329
2.432,2.56,2.305,2.332
2.506,2.528,2.374,2.432
2.47,2.531,2.41,2.506
2.48,2.49,2.423,2.47
2.55,2.55,2.44,2.48
2.75,2.981,2.54,2.55
2.97,3.09,2.732,2.75
3.06,3.14,2.929,2.97
3.115,3.138,3.035,3.06
2.794,3.125,2.75,3.115
2.828,2.9,2.61,2.794
2.88,2.93,2.781,2.828
3.03,3.05,2.87,2.88
2.99,3.082,2.932,3.03
2.98,3.006,2.884,2.99
2.97,3.039,2.935,2.98
3.05,3.133,2.935,2.97
3.251,3.38,2.99,3.05
3.135,3.29,3.084,3.251
3.25,3.25,3.141,3.135
3.15,3.248,2.994,3.25
3.2,3.214,3.11,3.15
3.2,3.22,3.15,3.2
3.2,3.23,3.155,3.2
3.193,3.219,3.175,3.2
3.52,3.7,3.189,3.193
3.95,4.5,3.483,3.52
3.89,4.04,3.81,3.95
3.89,3.992,3.509,3.89
3.947,3.95,3.815,3.89
3.94,3.969,3.855,3.947
4.225,4.39,3.781,3.94
4.018,4.313,3.81,4.225
4.07,4.1,3.962,4.018
4.186,4.25,3.99,4.07
4.166,4.33,4.116,4.186
4.248,4.3,4.063,4.166
